Code,Name,Old Location,New Location,Coming Stock,Stock
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,5.0
,,,,0.0,20.0
,,,,0.0,26.0
,,,,0.0,36.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,49.0
,,,,0.0,30.0
,,,,0.0,104.0
,,,,0.0,29.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,29.0
,,,,0.0,1.0
,,,,0.0,0.0
,,,,0.0,8.0
,,,,0.0,0.0
,,,,0.0,34.0
,,,,0.0,8.0
,,,,0.0,65.0
,,,,0.0,59.0
,,,,0.0,22.0
,,,,0.0,28.0
,,,,0.0,32.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,48.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,10.0,1.0
,,,,0.0,10.0
,,,,0.0,0.0
,,,,0.0,19.0
,,,,0.0,18.0
,,,,0.0,3.0
,,,,10.0,3.0
,,,,0.0,0.0
,,,,0.0,0.0
COFFEE_TABLE_WHITE_TR4024,O-03-04_KK123_Coffee Table120X40X47CM_Peter_29,O-03-04,P-02-03,20.0,0.0
,,,,0.0,1.0
,,,,0.0,5.0
,,,,0.0,9.0
,,,,0.0,0.0
,,,,0.0,4.0
,,,,0.0,4.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,1.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,1.0
,,,,10.0,0.0
,,,,0.0,0.0
,,,,0.0,7.0
,,,,10.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,2.0
,,,,0.0,21.0
,,,,0.0,0.0
,,,,0.0,7.0
,,,,0.0,12.0
,,,,0.0,1.0
,,,,0.0,40.0
,,,,0.0,0.0
,,,,0.0,17.0
,,,,0.0,178.0
,,,,0.0,46.0
,,,,0.0,99.0
,,,,0.0,30.0
